140,109,88,33,81.11
140,68,88,109,81.96
88,109,151,140,82.0
140,151,88,109,82.09
88,151,140,33,82.43
151,140,88,17,83.04
62,140,109,68,84.2
68,140,109,88,84.69
88,140,62,104,85.76
62,151,109,140,87.31
88,68,109,58,87.63
151,88,140,92,87.77
109,140,62,34,88.45
68,151,88,104,88.48
68,109,140,129,88.55
62,68,88,104,89.06
68,88,140,81,89.26
109,68,140,70,89.28
10,68,140,129,89.58
88,104,109,58,90.21
151,68,109,88,90.41
62,109,151,88,90.89
151,109,88,92,91.62
140,62,68,88,91.66
140,88,62,151,92.18
130,68,140,148,92.35
104,140,130,68,92.94
104,151,140,52,93.82
140,104,88,151,93.98
109,151,62,140,94.25
48,151,33,17,94.83
88,17,140,33,95.18
3,68,109,137,95.58
10,140,68,112,95.74
62,104,88,34,95.8
88,33,151,140,95.87
68,62,109,137,96.01
62,88,68,33,96.26
88,92,151,33,96.74
140,92,151,33,96.75
109,88,52,58,97.05
140,17,88,109,97.14
140,17,88,109,97.14
33,109,68,17,97.17
151,92,140,39,97.3
33,88,151,10,97.3
140,130,151,109,97.37
109,33,140,88,97.56
112,68,151,130,97.56
48,62,140,9,97.67
48,140,68,10,98.0
17,109,88,70,98.14
92,140,62,130,98.4
140,52,33,109,98.98
108,109,62,88,99.33
62,130,92,109,99.39
104,68,140,108,99.49
52,68,109,127,99.65
48,88,151,81,100.29
108,140,151,148,100.45
130,109,52,33,100.71
140,33,62,104,100.88
151,62,109,104,101.11
52,109,33,68,101.17
88,34,109,33,101.2
47,109,48,151,101.81
48,17,68,34,101.97
112,109,68,70,102.12
92,109,104,151,102.24
104,109,48,17,102.36
109,62,52,33,102.7
68,33,88,39,102.72
33,68,109,39,102.94
62,17,109,70,103.21
109,137,151,17,103.45
140,137,151,17,103.53
151,17,68,58,103.54
151,104,130,92,103.71
92,17,151,33,103.87
92,33,109,78,103.92
52,17,109,112,104.03
62,70,140,130,104.06
48,109,130,33,104.42
140,129,151,68,104.58
123,109,140,11,104.58
47,68,130,58,104.78
92,68,104,17,104.84
131,151,109,129,105.1
140,34,88,109,105.15
130,140,92,104,105.18
104,62,17,33,105.5
109,92,68,130,105.66
47,140,104,88,105.74
17,33,88,62,105.81
