140,17,88,109,97.14
140,68,88,109,81.96
140,109,88,33,81.11
140,151,88,109,82.09
140,34,88,109,105.15
88,109,151,140,82.0
88,140,62,104,85.76
88,33,151,140,95.87
151,140,88,17,83.04
140,104,88,151,93.98
88,151,140,33,82.43
88,17,140,33,95.18
140,33,62,104,100.88
140,58,62,104,113.63
62,104,88,34,95.8
88,34,109,33,101.2
109,33,140,88,97.56
140,88,62,151,92.18
62,151,109,140,87.31
109,140,62,34,88.45
62,34,88,68,110.58
62,68,88,104,89.06
88,68,109,58,87.63
68,151,88,104,88.48
88,104,109,58,90.21
109,58,62,140,116.0
62,58,109,151,105.97
109,151,62,140,94.25
62,140,109,68,84.2
68,140,109,88,84.69
109,68,140,70,89.28
140,70,10,68,112.66
10,68,140,129,89.58
68,109,140,129,88.55
140,129,151,68,104.58
151,68,109,88,90.41
109,88,52,58,97.05
52,58,109,34,108.03
109,34,62,70,127.88
62,70,140,130,104.06
140,130,151,109,97.37
151,109,88,92,91.62
62,109,151,88,90.89
151,88,140,92,87.77
88,92,151,33,96.74
140,92,151,33,96.75
92,17,151,33,103.87
151,33,104,140,108.3
104,140,130,68,92.94
140,131,130,68,113.84
130,68,140,148,92.35
140,148,68,88,109.59
140,62,68,88,91.66
68,88,140,81,89.26
140,81,62,33,117.07
62,33,130,109,110.91
130,109,52,33,100.71
109,10,52,33,107.43
109,62,52,33,102.7
52,33,48,68,119.66
48,68,47,109,110.56
47,109,48,151,101.81
48,151,33,17,94.83
151,34,33,17,116.11
33,17,130,34,113.32
130,34,151,92,111.2
151,92,140,39,97.3
140,39,88,108,112.09
88,108,104,109,106.56
104,109,48,17,102.36
48,17,68,34,101.97
68,34,151,104,111.84
151,104,130,92,103.71
130,92,62,39,107.42
62,39,48,58,130.78
48,58,68,62,107.55
68,62,109,137,96.01
3,68,109,137,95.58
109,137,151,17,103.45
140,137,151,17,103.53
151,17,68,58,103.54
68,58,48,33,160.34
48,33,92,34,106.27
92,34,68,52,113.46
68,52,130,17,111.37
130,17,92,140,113.62
92,140,62,130,98.4
140,10,62,130,113.5
62,130,92,109,99.39
92,109,104,151,102.24
104,151,140,52,93.82
140,52,33,109,98.98
33,109,68,17,97.17
68,17,151,58,109.17
151,58,88,130,123.44
88,130,108,109,114.73
108,109,62,88,99.33
62,88,68,33,96.26
68,33,88,39,102.72
88,39,17,109,117.25
17,109,88,70,98.14
88,70,48,62,139.54
48,62,140,9,97.67
62,137,140,9,106.23
140,9,48,109,148.41
48,109,130,33,104.42
130,33,92,68,108.48
92,68,104,17,104.84
104,17,130,10,117.92
130,10,112,68,115.98
112,68,151,130,97.56
140,112,151,130,106.54
151,130,47,68,115.25
47,68,130,58,104.78
130,58,62,17,126.44
88,58,62,17,126.5
62,17,109,70,103.21
109,70,48,34,140.94
48,34,92,151,129.07
92,151,52,68,111.69
52,68,109,127,99.65
109,127,33,88,121.39
33,88,151,10,97.3
151,10,104,68,115.42
104,68,140,108,99.49
140,108,104,58,112.38
104,58,47,151,135.35
47,151,52,17,112.13
52,17,109,112,104.03
109,112,88,131,111.89
88,131,92,33,123.17
92,33,109,78,103.92
109,78,140,127,116.3
109,41,140,127,111.03
140,127,151,62,116.43
151,62,109,104,101.11
109,104,10,34,112.77
10,34,88,91,124.33
88,91,109,19,120.76
109,19,48,104,145.14
48,104,88,78,110.22
88,78,104,62,124.65
104,62,17,33,105.5
17,33,88,62,105.81
88,62,10,140,107.65
10,140,68,112,95.74
68,112,104,34,114.8
104,34,88,137,125.01
88,137,109,92,114.59
109,92,68,130,105.66
68,130,104,33,110.51
104,33,68,41,108.02
68,41,140,123,112.25
140,123,88,81,116.59
88,81,68,3,115.45
68,3,151,39,114.09
151,39,88,9,120.07
88,9,140,53,118.57
88,47,140,53,111.46
140,53,10,17,136.37
140,125,10,17,135.43
10,17,112,109,129.25
112,109,68,70,102.12
68,70,109,130,108.76
109,130,112,58,121.78
112,58,88,148,128.51
88,148,131,70,127.21
131,70,48,88,144.21
48,88,151,81,100.29
151,81,97,109,152.37
151,70,97,109,170.23
130,151,97,109,126.37
97,109,47,33,110.88
70,109,47,33,110.9
47,33,52,109,119.06
52,109,33,68,101.17
33,68,109,39,102.94
68,92,109,39,106.4
109,39,88,52,121.07
88,52,47,17,116.39
47,17,140,41,112.16
140,41,68,104,115.17
68,104,48,130,133.91
68,19,48,130,147.51
48,130,104,39,112.15
104,39,62,10,128.01
62,10,140,120,108.77
140,120,78,151,170.55
112,140,78,151,117.95
78,151,48,140,119.8
48,140,68,10,98.0
68,10,92,58,115.01
92,58,88,123,129.74
88,123,104,137,111.24
104,137,130,88,132.36
130,88,10,151,111.46
10,151,130,140,108.72
130,140,92,104,105.18
92,104,151,108,107.84
151,108,123,104,127.43
151,131,123,104,129.97
